date,county,SNAP_Applications,SNAP_Active_Cases,NSLP_SBP_Participation,Food_Shelf_Visits,Unemployment_Claims,CPI_Food_At_Home_Index,Eviction_Filings,Utility_Shutoffs,Drought_Severity_Index,Household_Pulse_Food_Insufficiency_Pct,pantry_roll_mean,pantry_roll_std,spike_now,spike_in_4w,spike_in_8w,spike_in_12w,snap_apps_lag1,snap_apps_lag2,snap_apps_lag4,snap_apps_lag8,snap_cases_lag1,snap_cases_lag2,snap_cases_lag4,snap_cases_lag8,school_meals_lag1,school_meals_lag2,school_meals_lag4,school_meals_lag8,pantry_visits_lag1,pantry_visits_lag2,pantry_visits_lag4,pantry_visits_lag8,unemp_claims_lag1,unemp_claims_lag2,unemp_claims_lag4,unemp_claims_lag8,cpi_food_home_idx_lag1,cpi_food_home_idx_lag2,cpi_food_home_idx_lag4,cpi_food_home_idx_lag8,eviction_filings_lag1,eviction_filings_lag2,eviction_filings_lag4,eviction_filings_lag8,utility_shutoffs_lag1,utility_shutoffs_lag2,utility_shutoffs_lag4,utility_shutoffs_lag8,drought_idx_lag1,drought_idx_lag2,drought_idx_lag4,drought_idx_lag8,hps_food_insuff_pct_lag1,hps_food_insuff_pct_lag2,hps_food_insuff_pct_lag4,hps_food_insuff_pct_lag8,snap_apps_pctchg,snap_cases_pctchg,school_meals_pctchg,unemp_claims_pctchg,pantry_visits_pctchg
2023-01-01,Hennepin County,382,5985,13936,834,1575,251.27177615809777,12,29,0.2514962865514188,7.009437103314429,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-08,Hennepin County,415,5973,13952,821,1673,251.8399035185008,18,34,0.2806676875099355,6.717959253912493,,,0,0,0,0,382.0,,,,5985.0,,,,13936.0,,,,834.0,,,,1575.0,,,,251.27177615809777,,,,12.0,,,,29.0,,,,0.2514962865514188,,,,7.009437103314429,,,,,,,,
2023-01-15,Hennepin County,436,6074,13840,870,1668,250.98460583069726,11,34,0.28565540394077843,7.362778760849073,,,0,0,0,0,415.0,382.0,,,5973.0,5985.0,,,13952.0,13936.0,,,821.0,834.0,,,1673.0,1575.0,,,251.8399035185008,251.27177615809777,,,18.0,12.0,,,34.0,29.0,,,0.2806676875099355,0.2514962865514188,,,6.717959253912493,7.009437103314429,,,,,,,
2023-01-22,Hennepin County,412,5975,13640,825,1643,250.60410748122672,11,27,0.29215391492824366,6.706319320067942,,,0,0,0,1,436.0,415.0,,,6074.0,5973.0,,,13840.0,13952.0,,,870.0,821.0,,,1668.0,1673.0,,,250.98460583069726,251.8399035185008,,,11.0,18.0,,,34.0,34.0,,,0.28565540394077843,0.2806676875099355,,,7.362778760849073,6.717959253912493,,,,,,,
2023-01-29,Hennepin County,435,5984,13561,968,1615,250.30119687195128,17,32,0.3718554399137088,8.10342227254574,,,0,1,0,0,412.0,436.0,382.0,,5975.0,6074.0,5985.0,,13640.0,13840.0,13936.0,,825.0,870.0,834.0,,1643.0,1668.0,1575.0,,250.60410748122672,250.98460583069726,251.27177615809777,,11.0,11.0,12.0,,27.0,34.0,29.0,,0.29215391492824366,0.28565540394077843,0.2514962865514188,,6.706319320067942,7.362778760849073,7.009437103314429,,0.13874345513417943,-0.0001670843775827762,-0.026908725600824576,0.025396825380700427,0.16067146263708457
2023-02-05,Hennepin County,432,6053,13969,846,1680,249.62588097448094,13,30,0.2986388750851332,6.742076666922896,860.6666666666666,55.46049645167871,0,0,0,0,435.0,412.0,415.0,,5984.0,5975.0,5973.0,,13561.0,13640.0,13952.0,,968.0,825.0,821.0,,1615.0,1643.0,1673.0,,250.30119687195128,250.60410748122672,251.8399035185008,,17.0,11.0,18.0,,32.0,27.0,34.0,,0.3718554399137088,0.29215391492824366,0.2806676875099355,,8.10342227254574,6.706319320067942,6.717959253912493,,0.040963855322978665,0.013393604551583189,0.001218463302664961,0.004184100415909085,0.03045066987764839
2023-02-12,Hennepin County,438,6172,14197,886,1603,251.45548980075353,13,32,0.37541693131601456,8.218663396595714,864.2857142857143,51.52576794095127,0,0,0,0,432.0,435.0,436.0,,6053.0,5984.0,6074.0,,13969.0,13561.0,13840.0,,846.0,968.0,870.0,,1680.0,1615.0,1668.0,,249.62588097448094,250.30119687195128,250.98460583069726,,13.0,17.0,11.0,,30.0,32.0,34.0,,0.2986388750851332,0.3718554399137088,0.28565540394077843,,6.742076666922896,8.10342227254574,7.362778760849073,,0.004587155952781753,0.016134343099088847,0.025794797685997486,-0.03896882491668535,0.018390804576562295
2023-02-19,Hennepin County,431,6051,13350,901,1668,251.88597691259548,19,32,0.3192326606351457,8.497841396485267,868.875,49.438092600746636,0,0,1,0,438.0,432.0,412.0,,6172.0,6053.0,5975.0,,14197.0,13969.0,13640.0,,886.0,846.0,825.0,,1603.0,1680.0,1643.0,,251.45548980075353,249.62588097448094,250.60410748122672,,13.0,13.0,11.0,,32.0,30.0,27.0,,0.37541693131601456,0.2986388750851332,0.29215391492824366,,8.218663396595714,6.742076666922896,6.706319320067942,,0.04611650474243567,0.012719665269837713,-0.021260997065889957,0.015216068158724243,0.09212121200955005
2023-02-26,Hennepin County,430,6023,13352,989,1653,251.76572173609682,17,34,0.3134782806704215,8.703393648565465,888.25,62.47227956690642,1,0,0,0,431.0,438.0,435.0,382.0,6051.0,6172.0,5984.0,5985.0,13350.0,14197.0,13561.0,13936.0,901.0,886.0,968.0,834.0,1668.0,1603.0,1615.0,1575.0,251.88597691259548,251.45548980075353,250.30119687195128,251.27177615809777,19.0,13.0,17.0,12.0,32.0,32.0,32.0,29.0,0.3192326606351457,0.37541693131601456,0.3718554399137088,0.2514962865514188,8.497841396485267,8.218663396595714,8.10342227254574,7.009437103314429,-0.011494252847139648,0.00651737967805525,-0.015411842783318941,0.023529411750136585,0.02169421485362168
2023-03-05,Hennepin County,439,6117,13572,855,1636,250.6268657949504,14,33,0.3136863506359682,8.095288915089592,892.5,58.258046654518026,0,0,0,0,430.0,431.0,432.0,415.0,6023.0,6051.0,6053.0,5973.0,13352.0,13350.0,13969.0,13952.0,989.0,901.0,846.0,821.0,1653.0,1668.0,1680.0,1673.0,251.76572173609682,251.88597691259548,249.62588097448094,251.8399035185008,17.0,19.0,13.0,18.0,34.0,32.0,30.0,34.0,0.3134782806704215,0.3192326606351457,0.2986388750851332,0.2806676875099355,8.703393648565465,8.497841396485267,6.742076666922896,6.717959253912493,0.01620370366619513,0.010573269451416938,-0.028420073016792894,-0.02619047617488662,0.010638297859765606
2023-03-12,Hennepin County,446,6110,14351,931,1710,252.23003556779722,15,33,0.37888922516457124,8.692083489068226,900.125,58.88108476291127,0,0,0,0,439.0,430.0,438.0,436.0,6117.0,6023.0,6172.0,6074.0,13572.0,13352.0,14197.0,13840.0,855.0,989.0,886.0,870.0,1636.0,1653.0,1603.0,1668.0,250.6268657949504,251.76572173609682,251.45548980075353,250.98460583069726,14.0,17.0,13.0,11.0,33.0,34.0,32.0,34.0,0.3136863506359682,0.3134782806704215,0.37541693131601456,0.28565540394077843,8.095288915089592,8.703393648565465,8.218663396595714,7.362778760849073,0.018264840140947855,-0.010045366168171522,0.010847362117993423,0.06674984400077988,0.05079006766276516
2023-03-19,Hennepin County,427,5993,13416,967,1674,251.2498257676168,19,37,0.39130667149427506,8.081926953292871,917.875,54.21764999913377,0,1,0,0,446.0,439.0,431.0,412.0,6110.0,6117.0,6051.0,5975.0,14351.0,13572.0,13350.0,13640.0,931.0,855.0,901.0,825.0,1710.0,1636.0,1668.0,1643.0,252.23003556779722,250.6268657949504,251.88597691259548,250.60410748122672,15.0,14.0,19.0,11.0,33.0,33.0,32.0,27.0,0.37888922516457124,0.3136863506359682,0.3192326606351457,0.29215391492824366,8.692083489068226,8.095288915089592,8.497841396485267,6.706319320067942,-0.009280742437863707,-0.009585192528576236,0.004943820224348777,0.003597122300001725,0.07325194220504778
